corp_code,corp_name,stock_code,is_listed,rcept_2020,rcept_2021,rcept_2022,rcept_2023,rcept_2024
00130772,SBS,034120,True,20210318000400,20220317001064,20230316000964,20240321001674,20250320001108
00130879,서울식품공업,004410,True,20210317000932,20220323000713,20230323000423,20240320001070,20250320000850
00131018,서울제약,018680,True,20210318001177,20220317001312,20230322000902,20240320001139,20250320001077
00131054,유진증권,001200,True,20210317000664,20220316000791,20230315000887,20240318000590,20250318000789
00131692,서흥,008490,True,20210318000555,20220317000935,20230316001280,20240321001350,20250320000847
00131832,SK디스커버리,006120,True,20210323000907,20220322000926,20230321001269,20240320001824,20250318001277
00131850,SK증권,001510,True,20210317000735,20220316001039,20230324000127,20240315000894,20250319001113
00131896,선광,003100,True,20210331001296,20220316000590,20230315000363,20240313001244,20250321001544
00132202,선진뷰티사이언스,086710,True,20210324000697,20220323001247,20230316000901,20240321000816,20250320000733
00132318,성광벤드,014620,True,20210323000580,20220321000377,20230321000580,20240320000640,20250320001354
00132354,쿠쿠홀딩스,192400,True,20210330001312,20220331002932,20230330001467,20240326000734,20250317000970
00132488,신세계톰보이,012580,True,20210315001008,20220331002889,20230314001162,20240312000968,20250312000995
00132628,성문전자,014910,True,20210318000527,20220331000062,20230317000008,20240315000212,20250320000385
00132637,동원시스템즈,014820,True,20210317001135,20220510000724,20230320000820,20240319000775,20250318000868
00132725,SB성보,003080,True,20210316000693,20220315000678,20230310001031,20240320000890,20250318000798
00132804,성신양회,004980,True,20210318001113,20220322000761,20230314001035,20240313001512,20250312000954
00132868,성안머티리얼스,011300,True,20210322001033,20220322000888,20230322000752,20240321001113,20250320000581
00132992,성우하이텍,015750,True,20210322000395,20220322000611,20230322000773,20240320000743,20250320001214
00133089,성원,015200,True,20210331001156,20220331001549,20230331001628,20240401002601,20250331003305
00133317,에스티씨라이프,026220,True,20210331001090,20220331001712,20230331001178,20240329001512,20250331000597
00133335,성창기업지주,000180,True,20210316001044,20220315001222,20230314001199,20240318000483,20250317000553
00133511,SG세계물산,004060,True,20210316000692,20220316000435,20230317000464,20240318000337,20250318000626
00133618,세기상사,002420,True,20210326001276,20220310000216,20230322000452,20240315000554,20250318000783
00133663,세동,053060,True,20210323000648,20220323000381,20230321000571,20240320000575,20250321001029
00133706,한국제지,027970,True,20210318000861,20220323000788,20230316000858,20240314001202,20250314001620
00133751,세명전기,017510,True,20210316000465,20220316000079,20230314000335,20240312000421,20250317000288
00133858,세방전지,004490,True,20210316001173,20220315000920,20230308000717,20240313000935,20250312000986
00133991,세아특수강,019440,True,20210311000638,20220314001226,20230314000793,20240313001227,20250314001717
00134477,SNT다이내믹스,003570,True,20210218001086,20220218001040,20230220001625,20240221001483,20250220001259
00134565,이스타코,015020,True,20210323000897,20220323000253,20230323000980,20240321000655,20250320000234
00134723,페이퍼코리아,001020,True,20210503000454,20220330001348,20230323001248,20240321001475,20250320001403
00134963,송원산업,004430,True,20210304000035,20220303000087,20230302000104,20240229001224,20250311000263
00135050,팜젠사이언스,004720,True,20210317000938,20220321001357,20230321000651,20240320000880,20250321000584
00135111,수산세보틱스,017550,True,20210323000785,20220323001120,20230323001156,20240320001315,20250321001765
00135467,승일,049830,True,20210312000001,20220308000810,20230314000666,20240313000786,20250311000396
00135917,한화손해보험,000370,True,20210310000259,20220310000539,20230314001218,20240430000147,20250331003267
00135999,신라섬유,001000,True,20210304000483,20220304000517,20230303000655,20240308000397,20250307001145
00136086,무림페이퍼,009200,True,20210317001154,20220315000719,20230320000891,20240318000526,20250317000368
00136101,메이슨캐피탈,021880,True,20200629000238,20210618000183,20220621000324,20230621000034,20240619000040
00136165,스페코,013810,True,20210317000682,20220321001533,20230321001304,20240320001678,20250318001037
00136226,신성델타테크,065350,True,20210322000714,20220322000616,20230320000901,20240318000790,20250318001035
00136378,신세계,004170,True,20210316000687,20220316000691,20230315001319,20240313001406,20250312001128
00136457,SH에너지화학,002360,True,20210322000488,20220322000701,20230322000490,20240321001086,20250320000777
00136624,신영와코루,005800,True,20210318000310,20220317000404,20230316001089,20240314000193,20250313000876
00136721,신영증권,001720,True,20200629000494,20210616000296,20220615000399,20230615000542,20240612000337
00136925,신원종합개발,017000,True,20210318000975,20220318000143,20230317000990,20240320000670,20250321000362
00137012,에스앤더블류,103230,True,20210322001091,20220323000375,20230320000166,20240320001167,20250320000747
00137058,신일제약,012790,True,20210319000682,20220318000574,20230317000831,20240315000801,20250314001269
00137252,사조동아원,008040,True,20210318000423,20220316000709,20230315000694,20240313001271,20250312000522
00137289,이엘씨,041520,True,20210323000643,20220323000730,20230322000796,20240321001708,20250320001752
00137456,신한캐피탈,,False,20210331002851,20220330001555,20230330001049,20240516000693,20250331000197
00137517,신한라이프생명보험,,False,20210331000311,20220331002124,20230315001232,20240430001046,20250331002957
00137809,SHD,001770,True,20210317000596,20220321000833,20230321000569,20240320000855,20250318000112
00137915,에스엠코어,007820,True,20210316000918,20220318001039,20230321001044,20240320001714,20250318001419
00138020,SK실트론,,False,20210331002458,20220331003113,20230331001773,20240329002433,20250331002058
00138057,써니전자,004770,True,20210318001127,20220317001263,20230317001042,20240315000788,20250317000934
00138190,GS글로벌,001250,True,20210318000483,20220317000701,20230406002879,20240328001504,20250318001328
00138242,KG모빌리티,003620,True,20210323000883,20220427000218,20230314001136,20240318000335,20250318000528
00138279,S-Oil,010950,True,20210322000581,20220314000379,20230320000502,20240320001242,20250319000503
