corp_code,corp_name,stock_code,rcept_2020,rcept_2021,rcept_2022,rcept_2023,rcept_2024
00877819,데이타솔루션,263800,20210311000677,20220310000915,20230309000630,20240308000045,20250312000588
00411048,에스앤에스텍,101490,20210310000573,20220308000676,20230315000680,20240315000401,20250317000263
00127200,삼영전자공업,005680,20210311000178,20220310001191,20230316001053,20240326000917,20250320001321
00147222,전방,000950,20210318001043,20220317000094,20230315001304,20240314001271,20250320000970
00106456,지앤엘,014590,20210330000307,20220324000252,20230328000261,20240329000864,20250321000266
00105475,금강철강,053260,20210315001013,20220321000870,20230320000678,20240320001092,20250319001139
00145464,이구산업,025820,20210317001055,20220316000677,20230315000658,20240318000443,20250317000706
00109161,태경케미컬,006890,20210318001386,20220310000286,20230314000862,20240314001217,20250318000825
00529815,오디텍,080520,20210318000367,20220317000874,20230316001533,20240314000829,20250313000454
00101628,경방,000050,20210316000402,20220318000178,20230317000682,20240320000197,20250320001362
00363486,로체시스템즈,071280,20210317000684,20220321000620,20230320000378,20240315000343,20250314001632
00823429,한국화장품,123690,20210318001289,20220317001325,20230316001123,20240320001545,20250320001323
00303396,한국컴퓨터,054040,20210317000765,20220318000416,20230320000611,20240315000815,20250321001158
00174004,유성기업,002920,20210317001075,20220321001007,20230321000741,20240320001744,20250317000557
00985686,큐브엔터,182360,20210323000884,20220322000648,20230322000862,20240320002027,20250319000765
00974927,NEW,160550,20210318001309,20220317001168,20230321001370,20240319000700,20250319001098
00123107,보락,002760,20210310000273,20220317000649,20230316000878,20240314000488,20250321000822
00125725,디모아,016670,20210322001176,20220323001223,20230323000002,20240320002029,20250319001129
00899459,레이언스,228850,20210322000854,20220318000700,20230320000777,20240318000724,20250317000629
00220561,광주신세계,037710,20210315000505,20220315001176,20230314000982,20240312000761,20250311001147
00165343,혜인,003010,20210318001310,20220317000988,20230316001218,20240314001031,20250320001279
00148595,제일테크노스,038010,20210312001196,20220318000415,20230317000586,20240315000838,20250314001295
00409964,하이텍팜,106190,20210322000209,20220322000493,20230316000274,20240314000526,20250313000616
00129615,상보,027580,20210316000301,20220321000755,20230321000395,20240315000798,20250317000563
00258689,JYP Ent.,035900,20210318001273,20220321001029,20230320000741,20240318000479,20250317000598
01117422,나눔테크,244880,20210322000417,20220321000166,20230321000025,20240321000681,20250321000468
00101220,KG케미칼,001390,20210319001296,20220321001518,20230321001469,20240321001911,20250320001653
00491415,인포바인,115310,20210318000675,20220317000680,20230316000982,20240321001122,20250320000883
00152686,코리아써키트,007810,20210319001241,20220318000919,20230317001037,20240315000596,20250320001351
00162993,한일홀딩스,003300,20210317001064,20220321000887,20230317001001,20240320001809,20250318001319
00124027,부산산업,011390,20210318000217,20220317000676,20230316000697,20240321000638,20250320000250
00800145,서진오토모티브,122690,20210323001155,20220317000705,20230322000439,20240321002031,20250320000875
00145686,이화산업,000760,20210318000645,20220317000371,20230316000343,20240321000690,20250320000337
00411385,유비쿼스홀딩스,078070,20210317000244,20220321000479,20230321001013,20240320001952,20250318001391
00660291,옵티시스,109080,20210316000956,20220321000587,20230321001405,20240319000834,20250319000976
00258360,위지트,036090,20210322001103,20220322000960,20230322001104,20240321002060,20250321001992
01124653,슈프리마,236200,20210315000985,20220314000835,20230314001150,20240318000679,20250317000982
00332927,제이에스코퍼레이션,194370,20210310001046,20220316000879,20230320000163,20240320000808,20250317000998
00389110,지어소프트,051160,20210322000439,20220322000067,20230321001316,20240321001260,20250320001207
00266952,네오위즈홀딩스,042420,20210317001141,20220316001341,20230321001553,20240320002018,20250319001035
00398792,SNT모티브,064960,20210218000909,20220218001046,20230220001611,20240221001626,20250220001279
00148920,조광페인트,004910,20210317001024,20220321001064,20230327000525,20240320000988,20250318000792
01170865,네오셈,253590,20210317000853,20220321000254,20230321000343,20240319000520,20250318000990
00484682,엘오티베큠,083310,20210319001358,20220322001121,20230321000806,20240320000941,20250321000995
01437292,미래에셋맵스리츠,357250,20210217000520,20210810000360,20220817000154,20230823000023,20240820000114
00136864,신원,009270,20210318001202,20220317000769,20230316001039,20240321001320,20250320001044
00155373,풍강,093380,20201127000805,20211112001153,20221114001723,20231113000480,20241111000376
00533003,디케이락,105740,20210315001107,20220321000340,20230320000540,20240315000861,20250318000218
00336297,고려신용정보,049720,20210319000614,20220321000652,20230321000915,20240320001055,20250317000548
00137809,SHD,001770,20210317000596,20220321000833,20230321000569,20240320000855,20250318000112
