year,corp_code,corp_name,dr,dur,tenor,is_range,best_grade,best_spot,dr_diff
2020,00140061,티케이지애강,2.43,9.66,9.5,False,AA+,2.281795,0.14820500000000036
2020,00140131,키다리스튜디오,2.54,11.644,11.5,False,AA+,2.444957,0.09504299999999999
2020,00140168,HS애드,1.775,6.5,6.5,False,AAA,1.726682,0.04831799999999986
2020,00140858,와이엠,2.41,5.5,5.5,False,AA-,1.972961,0.4370390000000002
2020,00141282,에이치디씨영창,1.88,8.96,9.0,False,AAA,1.921241,-0.04124100000000008
2020,00141389,KZ정밀,2.22,5.78,6.0,False,AA-,2.085989,0.1340110000000001
2020,00141529,오뚜기,2.93,8.91,9.0,False,AA-,2.888923,0.04107700000000003
2020,00142865,WISCOM,1.7,6.4,6.5,False,AAA,1.726682,-0.026682000000000095
2020,00143527,경동인베스트,2.6,8.385,8.5,False,AA-,2.742509,-0.142509
2020,00143642,웅진식품,2.54,6.6,6.5,False,AA-,2.200024,0.33997600000000006
2020,00143907,원일특강,2.035,9.3,9.5,False,AAA,1.959397,0.07560300000000009
2020,00144252,유니온,2.36,5.75,6.0,False,AA-,2.085989,0.2740109999999998
2020,00145109,유한양행,2.8,11.08,11.0,False,AA,2.889525,-0.08952500000000008
2020,00145446,이건산업,2.21,7.1915,7.0,False,AA-,2.315155,-0.10515499999999989
2020,00145880,현대제철,4.535,14.88,15.0,True,AA-,3.907424,0.6275760000000004
2020,00146083,일동홀딩스,2.1,9.6,9.5,False,AAA,1.959397,0.14060300000000003
2020,00146296,일신석재,1.89,6.23,6.0,False,AA,1.910949,-0.020949000000000106
2020,00146861,자화전자,2.15,4.2,4.0,False,AA-,1.571074,0.5789259999999998
2020,00147082,재영솔루텍,1.29,4.0,4.0,False,AAA,1.360225,-0.07022499999999998
2020,00147295,전북은행,3.43,9.96,10.0,False,AA-,3.188825,0.24117500000000014
2020,00148461,제일연마,2.47,9.36,9.5,False,AA+,2.281795,0.1882050000000004
2020,00148522,퍼스텍,2.13,11.28,11.5,False,AAA,2.061058,0.06894199999999984
2020,00148540,CJ,2.87,6.6,6.5,False,AA-,2.200024,0.6699760000000001
2020,00148595,제일테크노스,2.81,8.52,8.5,False,AA-,2.742509,0.06749099999999997
2020,00148610,한화투자증권,3.56,10.6,10.5,False,AA-,3.255747,0.3042530000000001
2020,00148665,아이엠증권,2.32,9.91,10.0,False,AA+,2.353519,-0.033519000000000077
2020,00148832,제주은행,2.87,9.6,9.5,False,AA-,3.037625,-0.1676249999999997
2020,00148993,하이트진로홀딩스,2.02,7.705,7.5,False,AA+,2.001212,0.018787999999999805
2020,00149293,신한은행,2.98,10.7,10.5,False,AA,2.835239,0.14476099999999992
2020,00149345,조흥,2.45,9.4497,9.5,False,AA+,2.281795,0.16820500000000038
2020,00149594,한국캐피탈,2.787,8.44,8.5,False,AA-,2.742509,0.044490999999999836
2020,00149646,기업은행,2.625,14.91,15.0,False,AA+,2.669324,-0.04432400000000003
2020,00149813,중앙일보,2.25,10.6,10.5,False,AA+,2.383682,-0.13368199999999986
