CIK,dbo_eid,dbo_label,dbo_label_raw,dbo_val,net_eid,net_val,has_ifrs_dbo,ifrs_dbo_val,has_pa,pa_val,has_dim,has_cal_net,dbo_type,anomaly
00531865,ifrs-full_RecognisedLiabilitiesDefinedBenefitPlan,순확정급여부채,순확정급여부채,101630812.0,ifrs-full_RecognisedLiabilitiesDefinedBenefitPlan,101630812.0,False,,False,,False,False,순액(레이블),
00531917,ifrs-full_NoncurrentRecognisedLiabilitiesDefinedBenefitPlan,비유동순확정급여부채,비유동 순확정급여부채,134272340.0,ifrs-full_NoncurrentRecognisedLiabilitiesDefinedBenefitPlan,134272340.0,False,,False,,False,False,순액(레이블),
00532059,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,357513969.0,dart_PostemploymentBenefitObligations,357513969.0,False,,False,,False,False,순액추정(퇴직급여부채),
00532129,dart_PostemploymentBenefitObligations,순확정급여부채,순확정급여부채,2475078369.0,dart_PostemploymentBenefitObligations,2475078369.0,False,,False,,False,False,순액(레이블),
00532855,dart_PostemploymentBenefitObligations,순확정급여부채,순확정급여부채,1859275777.0,dart_PostemploymentBenefitObligations,1859275777.0,False,,False,,False,False,순액(레이블),
00533003,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,5101335749.0,dart_PostemploymentBenefitObligations,5101335749.0,False,,False,,False,False,순액추정(퇴직급여부채),
00533191,dart_PostemploymentBenefitObligations,순확정급여부채,순확정급여부채,3806667425.0,dart_PostemploymentBenefitObligations,3806667425.0,False,,False,,False,False,순액(레이블),
00533924,dart_PostemploymentBenefitObligations,순확정급여부채,순확정급여부채,150589881.0,dart_PostemploymentBenefitObligations,150589881.0,False,,False,,False,False,순액(레이블),
00534598,ifrs-full_RecognisedLiabilitiesDefinedBenefitPlan,순확정급여부채,순확정급여부채,468195833.0,ifrs-full_RecognisedLiabilitiesDefinedBenefitPlan,468195833.0,False,,False,,False,False,순액(레이블),
00534701,dart_PostemploymentBenefitObligations,장기종업원급여부채,장기종업원급여부채,174291362.0,dart_PostemploymentBenefitObligations,174291362.0,False,,False,,False,False,오분류의심,WRONG_LABEL
00535375,dart_PresentValueOfDefinedBenefitObligation,확정급여부채,확정급여부채,839482179.0,dart_PresentValueOfDefinedBenefitObligation,839482179.0,False,,False,,False,False,판별불가,
00535481,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,4631983984.0,dart_PostemploymentBenefitObligations,4631983984.0,False,,False,,False,False,순액추정(퇴직급여부채),
00536329,dart_PostemploymentBenefitObligations,퇴직급여채무,퇴직급여채무,467168872.0,dart_PostemploymentBenefitObligations,467168872.0,False,,False,,False,False,판별불가,
00536523,,,,,dart_InvestedAssetForPostemploymentBenefit,920725365.0,False,,False,,False,False,NetDBO만,
00536541,ifrs-full_DefinedBenefitObligationAtPresentValue,"확정급여채무,현재가치","확정급여채무, 현재가치",139317285000.0,ifrs-full_LiabilityAssetOfDefinedBenefitPlans,99820953000.0,True,139317285000.0,True,99820953000.0,True,False,총액(DBO매핑≈IFRS_DBO),
00536888,dart_PostemploymentBenefitObligations,확정급여부채,확정급여부채,48907117.0,ifrs-full_RecognisedLiabilitiesDefinedBenefitPlan,48907117.0,False,,False,,False,False,판별불가,
00537221,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,107794895.0,dart_PostemploymentBenefitObligations,107794895.0,False,,False,,False,False,순액추정(퇴직급여부채),
00539274,ifrs-full_DefinedBenefitObligationAtPresentValue,"확정급여채무,현재가치","확정급여채무, 현재가치",387444000000.0,ifrs-full_NoncurrentRecognisedLiabilitiesDefinedBenefitPlan,108236865702.0,True,387444000000.0,True,279207000000.0,True,False,총액(DBO매핑≈IFRS_DBO),
00540429,entity00540429_DefinedBenefitLiabilitiesOfNoncurrentLiabilities,확정급여부채,확정급여부채,0.0,entity00540429_NonCurrentNetDefinedBenefitAssetOfNoncurrentAssets,15968253.0,False,,False,,False,False,판별불가,ZERO_VAL
00540605,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,9159759254.0,dart_PostemploymentBenefitObligations,9159759254.0,False,,False,,False,False,순액추정(퇴직급여부채),
00540641,dart_PresentValueOfDefinedBenefitObligation,확정급여채무,확정급여채무,2472875625.0,dart_PresentValueOfDefinedBenefitObligation,2472875625.0,False,,False,,False,False,총액추정(레이블),
00541349,ifrs-full_ActuarialGainsLossesArisingFromExperienceAdjustmentsNetDefinedBenefitLiabilityAsset,"경험조정에서발생하는보험수리적이익(손실),순확정급여부채(자산)","경험조정에서 발생하는 보험수리적 이익(손실), 순확정급여부채(자산)",1038000.0,ifrs-full_ActuarialGainsLossesArisingFromExperienceAdjustmentsNetDefinedBenefitLiabilityAsset,1038000.0,False,,False,,False,False,순액(레이블),
00541437,dart_PostemploymentBenefitObligations,순확정급여부채,순확정급여부채,1410911487.0,dart_PostemploymentBenefitObligations,1410911487.0,False,,False,,False,False,순액(레이블),
00542074,entity00542074_NetDefinedBenefitLiabilityOfNoncurrentLiabilities,순확정급여부채,순확정급여부채,548804928.0,entity00542074_NetDefinedBenefitLiabilityOfNoncurrentLiabilities,548804928.0,False,,False,,False,False,순액(레이블),
00542898,dart_PostemploymentBenefitObligations,퇴직급여부채,퇴직급여부채,106890017.0,dart_PostemploymentBenefitObligations,106890017.0,False,,False,,False,False,순액추정(퇴직급여부채),
00543107,dart_PostemploymentBenefitObligations,순확정급여부채,순확정급여부채,4560966866.0,dart_PostemploymentBenefitObligations,4560966866.0,False,,False,,False,False,순액(레이블),
00544577,dart_PresentValueOfDefinedBenefitObligation,확정급여채무의현재가치,확정급여채무의현재가치,1749277100.0,dart_PresentValueOfDefinedBenefitObligation,1749277100.0,False,,False,,False,False,총액추정(레이블),
00545716,ifrs-full_DefinedBenefitObligationAtPresentValue,"확정급여채무,현재가치","확정급여채무, 현재가치",98754554000.0,ifrs-full_NoncurrentRecognisedLiabilitiesDefinedBenefitPlan,3257679971.0,True,98754554000.0,True,117346942000.0,True,False,총액(DBO매핑≈IFRS_DBO),
00545734,dart_PostemploymentBenefitObligations,순확정급여부채,순확정급여부채,1830824290.0,dart_PostemploymentBenefitObligations,1830824290.0,False,,False,,False,False,순액(레이블),
