CIK,DBO_2022,PA_2022,DBO_2023,PA_2023,DBO_2024,PA_2024,tier,outlier_flag,growth_2022,growth_2023,growth_2024
01194689,,,19528303000.0,24975699000.0,26430191000.0,30815804000.0,,,,,
01203808,,,18444391000.0,21743141000.0,23164454000.0,23977366000.0,,,,,
01205709,1836146000000.0,2369039000000.0,2253416000000.0,2664771000000.0,2706355000000.0,2821817000000.0,1_대형,,1.0,1.2272531704995135,1.473932356141614
01234507,,,105418294000.0,122602414000.0,114489028000.0,127564455000.0,,,,,
01244601,,,32451684000.0,38625407000.0,43399431000.0,51100738000.0,,,,,
01258507,179384000000.0,219649000000.0,213345000000.0,244121000000.0,249099000000.0,269508000000.0,3_중소형,,1.0,1.189320117736253,1.3886355527806271
01262032,,,192562072000.0,186038658000.0,201852935000.0,207745705000.0,,,,,
01263022,93192000000.0,125260000000.0,112220000000.0,129114000000.0,124965000000.0,135551000000.0,3_중소형,,1.0,1.2041806163619195,1.3409412825135205
01267170,,,162132222000.0,205841126000.0,183578535000.0,228029880000.0,,,,,
01267684,,,17845080000.0,19852797000.0,20878699000.0,21601931000.0,,,,,
01316227,,,90189000000.0,91139000000.0,98752000000.0,88517000000.0,,,,,
01316236,,,65709000000.0,70833000000.0,67254000000.0,60927000000.0,,,,,
01316245,181293000000.0,199089000000.0,203763000000.0,206845000000.0,258774000000.0,230184000000.0,3_중소형,,1.0,1.1239430093826017,1.4273799870927173
01316254,,,56569000000.0,65637000000.0,64836000000.0,63173000000.0,,,,,
01319808,,,108996218000.0,119530420000.0,107748350000.0,118404047000.0,,,,,
01319899,25621328000.0,39576873000.0,41308176000.0,60010039000.0,47285362000.0,66815450000.0,4_소형,,1.0,1.6122574130427587,1.8455468818790346
01323032,,,38052079000.0,43935562000.0,46176591000.0,48939043000.0,,,,,
01386916,11518238000.0,13502460000.0,17420326000.0,18288349000.0,24486845000.0,25075191000.0,4_소형,,1.0,1.5124124019663425,2.125919346344467
01390344,722401000000.0,931921000000.0,841527000000.0,1067012000000.0,1012057000000.0,1096446000000.0,2_중형,,1.0,1.1649028725043293,1.4009629001067274
01412822,,,10313000000.0,8983000000.0,10943000000.0,10067000000.0,,,,,
01428203,84301540000.0,109983820000.0,-91692572000.0,-109408422000.0,104269251000.0,-108573511000.0,3_중소형,EXTREME_CHANGE;NEGATIVE_DBO,1.0,-1.0876737483087497,1.2368605721793458
01478712,,,97056577040.0,-125597220512.0,108945996841.0,-128653234544.0,,,,,
01497869,,,33467596000.0,33747225000.0,18066561000.0,18831540000.0,,,,,
01515323,549225000000.0,771244000000.0,673251000000.0,829521000000.0,667476000000.0,809839000000.0,2_중형,,1.0,1.2258200191178479,1.2153052027857436
01562589,,,9350000000.0,10819000000.0,12798000000.0,13550000000.0,,,,,
01596425,305523000000.0,224071000000.0,169113000000.0,187047000000.0,157899000000.0,180080000000.0,2_중형,,1.0,0.5535197022810067,0.516815427971053
01722437,,,55408866000.0,1816490000.0,70085889000.0,2066908000.0,,,,,
01760738,,,154926283000.0,178560414000.0,170415977000.0,186627719000.0,,,,,
01765256,,,73358000000.0,85487000000.0,87330000000.0,89972000000.0,,,,,
01765265,,,149333000000.0,152691000000.0,157646000000.0,149102000000.0,,,,,
