corp_code,rcept_2020,rcept_2021,rcept_2022,rcept_2023,rcept_2024,corp_name,rcept_2025
00117337,20210322001119,20220323000930,20230403003757,20240320001400,20250814004295,동양,20260318001406
00117498,20210317000940,20220321001468,20230320000673,20240319000556,20250320001381,스틱인베스트먼트,20260319000750
00117577,20210310001206,20220316001417,20230315001148,20240313000499,20250318000980,오리온홀딩스,20260318000838
00117601,20210318000778,20220317000941,20230314000094,20240313000105,20250313000247,유안타증권,20260312000253
00117629,20210315001021,20220321001370,20230320000536,20240318000933,20250317000788,KBI동양철관,20260318001380
00117638,20210331000941,,,,,동양텔레콤,
00117708,20210318001199,20220317001304,20230714000323,20240321001324,20250320001571,리드코프,20260319001217
00117726,20210323000271,20220323000753,20230323001067,20240321001296,20250321001077,DYP,20260323001599
00117744,20210318000785,20221130001307,20230331004390,20240430000865,20250331003145,메리츠화재해상보험,
00117966,20210608000281,20220816001959,20240315000828,20240321001243,20250814003009,동원개발,20260319000997
00118008,20200629000448,20210706000358,20220620000208,20230620000249,20240619000177,동원금속,20260213002833
00118026,20210318001105,20220812001050,20230515000543,20240320001973,20250318001125,동원산업,20260318001195
00118044,20210318001363,20220317000755,20230316000263,20240314001415,20250404003738,동원수산,20260312000830
00118266,20210316000835,20220316000864,20230315000744,20240313001071,20250313000850,DRB동일,20260319000977
00118275,20230309000372,20230309000380,20230316001051,20240314001500,20250313001050,디아이,20260312001121
00118284,20210326000343,20220323000503,20230316000288,20240315000234,20250320001051,동일금속,20260318000640
00118345,20210318001236,20220317000939,20230316001325,20240314001589,20250331004012,디아이동일,20260323001456
00118451,20210318000801,20220323000738,20230322001127,20240321001135,20250424000289,동일제강,20260323000811
00118460,20210331002352,,,,,태림페이퍼,
00118521,20210323000614,20220322000627,20230711000247,20240327000694,20250814002621,진원생명과학,20260323001173
00118804,20210318000597,20220317000647,20230316001000,20240314001382,20250319000732,동진쎄미켐,20260319000264
00118965,20210322000959,20220322000923,20230322000844,20240320001057,20250319001022,티에이치엔,20260323001500
00119007,20210317001126,20220315000694,20230320000856,20240315000661,20250314001672,무림P&P,20260313001288
00119131,,,20230330001394,20240329000672,20250326000132,동화상가,
00119140,20210322000760,20220323000898,20230322000808,20240513000862,20250321001881,핸즈코퍼레이션,20260324000258
00119195,20210317000578,20220322000889,20230315001100,20240319000652,20250318000739,동화약품,20260318001027
00119672,20210322000709,20220321001298,20230713000062,20240320001718,20250318001138,두올,20260318001456
00119724,20210331002447,20220331002424,20230331002626,20240401003005,20250331001956,두원중공업,
00120021,20210311000968,20220321001237,20230321001235,20240319000703,20250318001070,LG,20260318001025
00120030,20210318000969,20220317001128,20230316001014,20240329002822,20250813000906,GS건설,20260316001192
00120076,20210316000546,20220316000964,20230315000850,20240320000868,20250320000626,LX인터내셔널,20260318000623
00120182,20210317000233,20220315000644,20230315000964,20240514000627,20250313000770,NH투자증권,20260313000771
00120216,,20220317000664,20230316000747,20240430000217,20250331004034,KB손해보험,20260313001064
00120289,20221107000198,20220321001072,20230321000495,20240321000580,20250320001371,제이에스티나,20260319001254
00120438,20210331002719,20220331003180,20230331004378,20240401003217,20250331003610,롯데건설,
00120483,20210331002393,20220331002921,20230331003972,20240401003955,20250331003982,롯데물산,
00120508,20210315001025,20220315001228,,,,롯데푸드,
00120526,20210315000915,20220315001185,20230315001405,20240315000948,20250314001659,롯데쇼핑,20260312001405
00120562,20210318001129,20220317001201,20230323001274,20240320001124,20250620000111,롯데지주,20260316001619
00120571,20210315000941,20220317000852,20230314001296,20240326000264,20250317000932,롯데칠성음료,20260311004566
00120872,20200928000311,20210916000086,20220915000334,20231005000147,20250930000631,만호제강,20260219002720
00120906,20210407002561,20220322000093,20230321001407,20240320000487,20250319000285,에스아이리소스,20260319001295
00120924,20210318001355,20220317001119,20230323001135,20240321001567,20250320001467,매일홀딩스,20260319001082
00120988,20210331002224,20220331003117,20230331002976,20240401000041,20250331001705,삼성메디슨,
00121039,20210419000320,20220331000338,20240412002739,20240412001340,20250326000618,명문제약,20260318001497
00121154,20210318000477,20220317000310,20230323000547,20240321001102,20250320000679,엠에스씨,20260319000368
00121288,20210331000541,20220321000384,20230321000713,20240320000713,20250321000631,모나미,20260323001298
00121507,20210317001280,20220315000750,20230320000944,20240315000707,20250314001344,무림SP,20260313001308
00121534,20210316000829,20220316000865,20230315001383,20240313001046,20250312000625,MH에탄올,20260312000803
00121543,20210319001404,20220318000779,20230320000776,20240319000693,20250324000610,무학,20260318000658
00121570,20210312000680,20220310001184,20230316000931,20240314000969,20250708000057,문배철강,20260319000530
00121686,20210323000531,20220323001073,20230323001008,20240405000740,20250321001427,엠케이전자,20260323001379
00121932,20210419000194,20220728000426,20230320000972,20240318000694,20250317000651,미원상사,20260316000483
00121941,20210318001155,20220816001426,20230316001258,20240327000761,20250321000555,대상,20260318000733
00121969,20210325000778,20220726000333,20230321000863,20240328001322,20250326001145,에쓰씨엔지니어링,20260319000744
00122056,20210325000207,20220324000331,20230327000678,20240321000804,20250321001415,미창석유공업,20260320001114
00122205,20210322001107,20220322000758,20230322001213,20240320002044,20250320001342,바른손,20260319000845
00122339,20210326000292,,,,,이매진아시아,
00122348,20201229000102,20211222000216,20221230000430,20231221000198,20241219000406,방림,20260213001393
00122472,20210317000563,20220316000411,20240315000854,20240320001979,20250318001326,PKC,20260320000740
00122481,20210319000931,20220315000630,20230316001157,20240319000625,20250320001058,태경비케이,20260319000934
00122551,20210420000262,20220712000592,20230321000690,20240319000327,20250319000644,백산,20260319000754
00122579,20210318001376,20220317001262,20230316001312,20240314001341,20250320001026,BYC,20260319001175
00122728,20210324000828,20220711000117,20230330001460,20240329001058,20250328002298,범양사,
00122737,20210322000897,20220321000845,20230321001130,20240319000829,20250318000777,팬오션,20260319001097
00122825,20220317000545,20220321001203,20230322001015,20240321001916,20250321001886,인스코비,20260323001626
00122898,20210319000834,20220321000885,20230321000942,20240320001583,20250321001224,벽산,20260323001448
00123107,20210310000273,20220317000649,20230316000878,20240314000488,20250321000822,보락,20260318000334
00123143,20210318000772,20220317001028,20230313000894,20240311000918,20250320001237,보령,20260323001392
00123523,20210319001356,20220315000796,20230321001176,20240318000897,20250814002715,창해에탄올,20260318001688
00123541,20210319001392,20220315001204,20230321001480,20240318000717,20250318001002,보해양조,20260318000704
00123718,20210324000661,20220812001267,20230328001033,20240322000905,20250318000877,부광약품,20260316001273
00123772,20210318000752,20220317000866,20230328000107,20240423000486,20250813001187,부국증권,20260319000955
00123781,20210318000880,20220317000378,20230323000263,20240321000615,20250320000887,부국철강,20260318000484
00123967,20210322000394,20220322000318,,,,부산도시가스,
00124027,20210318000217,20220317000676,20230316000697,20240321000638,20250320000250,부산산업,20260319000540
00124090,20210818000238,20220318001034,20240318000532,20240318000647,20250321001284,한국특강,20260323000279
00124106,20210331002302,20220317000871,20230309000684,20240314001339,20250514000045,부산은행,20260316001434
00124151,20210420000237,20220322000532,20230323001492,20250521000331,20250521000343,부산주공,20260319000808
00124197,20210318000358,20220314001220,20230315000645,20240318000595,20250317000708,세아제강지주,20260316000062
00124276,20210315000724,20220318000252,20230317000896,20240315000952,20250314000761,부스타,20260313000821
00124504,20210305000796,20220311001166,20230310000736,20240329001908,20250314001718,포스코인터내셔널,20260318001494
00124540,20210319001137,20220321000645,20230320000675,20240320001313,20250813000868,대우건설,20260318001029
00124577,20210331000385,20220330001556,20230414000528,20240401001820,20250331002668,엠소닉,
00124656,20210331001665,20221004000333,20230331004410,20240329002499,20250331000455,비씨카드,
00124726,20210317000510,20220812000681,20230315000500,20240313000739,20250312000859,빙그레,20260318001526
00124780,20210318001142,20220318001114,20230315001385,20240312000794,20250311000913,사조씨푸드,20260317000763
00124799,20210318001287,20220316001349,20230315001388,20240313000865,20250312000903,사조산업,20260318000986
00124805,20210303000650,20220308000292,20230315000460,20240321001414,20250318000957,푸른저축은행,20260318000885
00125080,20210323000581,20220321001495,20230323001504,20240321001157,20250318001263,AK홀딩스,20260323001489
00125150,20210318001407,20220812000745,20230309000859,20240313001769,20250312001090,SGC에너지,20260312001227
