corp_code,corp_name,stock_code,is_listed,n_years,rcept_2020,rcept_2021,rcept_2022,rcept_2023,rcept_2024
01207169,엑심베이,,False,5,20210408001625,20220426000069,20230331002230,20240401003624,20250331003480
01207716,앱코,129890,True,5,20210316000142,20220317000178,20230316000366,20240315000021,20250313000354
01207761,프로브잇,227100,True,5,20210319000640,20220328001055,20230323001488,20240327000129,20250408000016
01207901,사이냅소프트,466410,True,1,,,,,20250321000813
01208751,아이에스티이,212710,True,1,,,,,20250321000611
01208821,팡스카이,266350,True,5,20210331003221,20220331003606,20230331002136,20240318000329,20250407003922
01208849,나인테크,267320,True,4,20210319001263,,20230321000985,20240320001954,20250321000551
01208885,경동도시가스,267290,True,5,20210311001095,20220317000553,20230314001158,20240313001034,20250318000876
01210048,이앤코리아,,False,2,20210407002655,,20230330001122,,
01210066,리파인,377450,True,4,,20220323000995,20230317000228,20240315000636,20250319000449
01210190,모비릭스,348030,True,5,20210317001114,20220316000575,20230315001038,20240321002044,20250320001043
01210677,씨케이솔루션,480370,True,1,,,,,20250320001576
01211232,코윈테크,282880,True,4,20210318000519,20220321001381,,20240320001036,20250318000810
01212921,비바리퍼블리카,,False,4,,20220331003427,20230331003986,20240329003150,20250328001827
01213586,아이디피,332370,True,5,20210316000690,20220314000282,20230313000487,20240311000712,20250312000210
01214044,빗썸,,False,4,,20220331003583,20230331004067,20240401004312,20250331003880
01214248,뉴트리,270870,True,4,20210318001294,,20230323001350,20240321001943,20250321001735
01214743,더네이쳐홀딩스,298540,True,5,20210319001217,20220318000198,20230321001085,20240405003123,20250320001718
01215618,와이엠텍,273640,True,4,,20220429001026,20230316000890,20240315000026,20250319000247
01217014,트윔,290090,True,4,,20220323001309,20230323001480,20240321001294,20250321001762
01217111,포스크리에이티브파티,,False,1,,,,,20250324000467
01217795,엠에프씨,432980,True,1,,,,,20250320000930
01217829,엔에프씨,265740,True,5,20210331000565,20220322000059,20230320000325,20240315000393,20250314000633
01217865,프롬바이오,377220,True,4,,20220318000607,20230315000987,20240320001665,20250321001014
01218299,에코아이,448280,True,2,,,,20240321000705,20250331004128
01218800,파라타항공,,False,4,20210331001255,20220330001068,20230330001816,,20250331003396
01219155,네오크레마,311390,True,4,20210319000823,20220322000765,,20240318000812,20250318001439
01221752,지에프씨생명과학,388610,True,3,,,20230317000629,20240315000493,20250318001075
01222016,옥천당,,False,5,20210330000613,20220323001190,20230427000460,20240429001146,20250430000451
01222113,인스웨이브,450520,True,2,,,,20240321002023,20250320001200
01222432,에스제이그룹,306040,True,5,20210322000789,20220321001239,20230323001040,20240418000281,20250318000949
01222867,제테마,216080,True,4,20210319000929,20220318001061,,20240315000851,20250321000516
01223219,에이에프더블류,312610,True,5,20210317000080,20220318000320,20230321000428,20240320000335,20250318000018
01226234,와이바이오로직스,338840,True,2,,,20230414002057,20240321001953,
01226270,스톰테크,352090,True,2,,,,20240321001766,20250321001827
01226410,씨앤씨인터내셔널,352480,True,3,,,20230323001531,20240321001899,20250321001159
01227039,파라택시스코리아,288330,True,5,20210322001126,20220317001132,20230315001414,20240318000706,20250321001906
01228515,앱튼,270520,True,5,20210317000589,20220316000464,20230317000864,20240321000692,20250321001183
01228931,프리닉스,,False,5,20210331002394,20220325001296,20230324000661,20240329000755,20250324000306
01229240,가이아코퍼레이션,296520,True,3,,,20230626000351,20240401000698,20250331002057
01230255,한울앤제주,276730,True,4,,20220516002486,20230317000952,20240320001836,20250321001487
01231786,엑스페릭스,317770,True,4,20210316000672,20220314000963,20230314001219,20240321002048,
01232192,티디에스팜,464280,True,1,,,,,20250317001016
01233465,동국생명과학,303810,True,1,,,,,20250312001105
01234297,미원에스씨,268280,True,4,20210310000561,,20230315001384,20240313001624,20250312000902
01234507,매일유업,267980,True,5,20210318000981,20220317001107,20230316001314,20240321001696,20250320001447
01235296,셀리드,299660,True,5,20210602000406,20220315001211,20230321001439,20240329002429,20250318001435
01236286,컬러레이,900310,True,5,20210429000233,20220502000713,20230428001266,20240419000726,20250423000002
01236532,와이즈버즈,273060,True,3,,,20230314001129,20240313001665,20250312001001
01236897,제일약품,271980,True,5,20210315000881,20220315001104,20230316001404,20240312000781,20250317000697
01237434,플리토,300080,True,2,,,,20240320001222,20250320000159
01237540,이녹스첨단소재,272290,True,5,20210318001244,20220316000661,20230321000814,20240320000188,20250318001248
01237577,서울개인택시복지법인,,False,5,20210326000749,20220331001282,20230331003982,20240401003577,20250331003709
01238169,오리온,271560,True,4,20210310001175,20220323000300,20230315001259,20240313000527,
01242241,샌즈랩,411080,True,3,,,20230310001120,20240313001058,20250408003097
01243161,인산가,277410,True,5,20210315000012,20220321000115,20230320000186,20240319000174,20250319000816
01244601,카카오페이,377300,True,4,,20220318000860,20230317000900,20240418000360,20250313001156
01245062,코오롱티슈진,950160,True,5,20210324000788,20220321001506,20230320000716,20240320002010,20250318000527
01246034,네오펙트,290660,True,5,20210323000839,20220322001096,20230322001024,20240321001610,20250320001036
01246742,테크트랜스,258050,True,5,20210319001048,20220318001053,20230321000680,20240320000610,20250321001329
01250374,에스에스알,275630,True,4,,20220322000245,20230322000612,20240514000938,20250331003748
01250666,카카오모빌리티,,False,2,,,,20240401003513,20250331002700
01251489,라온피플,300120,True,4,20210507000727,,20230321000396,20240320000863,20250321000742
01251577,휴네시온,290270,True,5,20210317001163,20220321001234,20230322000924,20240320002046,20250319000974
01251595,압타바이오,293780,True,5,20210322000338,20220322000846,20230322000520,20240430001224,20250318001376
01253636,에르코스,435570,True,1,,,,,20250317000763
01255652,레이크머티리얼즈,281740,True,5,20210319000669,20220328000299,20230321000462,20240320000555,20250318000856
01256864,에이비엘바이오,298380,True,4,20210315001088,,20230315000447,20240314001689,20250313001013
01257872,에스퓨얼셀,288620,True,4,20210322000950,,20230316001373,20240314001281,20250320001331
01258020,에스바이오메딕스,304360,True,5,20210331000741,20220331000273,20230323000050,20240321001850,20250320000958
01258428,프레스티지바이오로직스,334970,True,4,20210616000175,20220322001056,,20231114002183,20240919000208
01258507,롯데웰푸드,280360,True,5,20210315000804,20220315001046,20230315000646,20240322000503,20250617000244
01258710,이노메트리,302430,True,5,20210318000512,20220316000910,20230317000534,20240320000351,20250318000217
01259056,애닉,299910,True,2,20210323000814,,,20240322000001,
01259232,노바텍,285490,True,4,20210317000404,,20230316000893,20240321001606,20250320001246
01259311,푸드나무,290720,True,4,20210317000782,,20230323001253,20240321001492,20250320001751
01259418,대보마그네틱,290670,True,4,20210318000857,20220321001300,20230321001442,20240321001922,
01259454,아들과딸,,False,1,20210409003049,,,,
01261644,레인보우로보틱스,277810,True,4,20210608000437,20220323000415,20230323000602,20240321001029,
01261893,케이씨텍,281820,True,5,20210316001143,20220321000733,20230321001167,20240320001528,20250318001445
01262023,루트락,253610,True,4,20210323001159,20220323001380,,20240321000099,20250321000725
01262032,롯데이노베이트,286940,True,5,20210311001163,20220314001163,20230316001574,20240313001559,20250320001204
01262458,동아타이어공업,282690,True,4,20210316000450,20220321000425,20230316000692,20240314001093,
01263022,BGF리테일,282330,True,5,20210317000292,20220321001041,20230320000886,20240412003349,20250318000733
01263527,카이노스메드,284620,True,1,,,,20240321000508,
01264234,엘에이티,311060,True,5,20210317000406,20220321001138,20230323001188,20240320001509,20250318000650
01264438,자이언트스텝,289220,True,5,20210331003230,20220316001136,20230321000957,20240320001482,20250321001478
01264872,이노뎁,303530,True,4,,20220322000575,20230316000688,20240314001183,20250313001331
01265251,압타머사이언스,291650,True,4,,20220321000128,20230322001186,20240320001464,20250319000872
01265914,미로,,False,5,20210330000062,20220331000117,20230425000051,20240423000497,20250422000291
01267170,SK케미칼,285130,True,5,20210428000711,20220318001113,20230320000964,20240318000792,20250318000565
01267222,캐리소프트,317530,True,5,20210604000392,20220323000782,20230322001076,20240321001449,20250320001430
01267550,나라소프트,288490,True,5,20210401001535,20220329001163,20230324000249,20240326000666,20250417000531
01267602,제이시스메디칼,287410,True,5,20210324000854,20220331002479,20230320000349,20240314001085,20250407003477
01267684,쿠쿠홈시스,284740,True,5,20210326000876,20220330001375,20230403003576,20240320001937,20250331004301
01267958,프로티아,303360,True,4,,20220321000965,20230320000571,20240318000538,20250318000928
01267967,마이크로디지탈,305090,True,4,,20220321001454,20230321000953,20240320000284,20250317000933
01270749,웨이비스,289930,True,1,,,,,20250318000681
01274310,이오플로우,294090,True,5,20210603000030,20220524000510,20230322000931,20240319000863,20250331002328
01274329,성일하이텍,365340,True,3,,,20230323000846,20240320001734,20250327001024
01275489,셀비온,308430,True,1,,,,,20250320000939
01275665,리메드,302550,True,4,20210322000679,20220318000588,,20240516001212,20250318001367
01276026,지놈앤컴퍼니,314130,True,4,20210611000249,,20230321001214,20240320001778,20250320001302
01276327,위지윅스튜디오,299900,True,2,,,20230316001489,,20250319001066
01276594,신한알파리츠,293940,True,5,20201229000410,20211214000099,20221213000262,20231214000297,20241211000290
01276901,엔피,291230,True,3,20210308000432,,,20240320001904,20250313001029
01277104,하임바이오,,False,1,20210326001294,,,,
01281541,에피바이오텍,446440,True,2,,,,20240320001359,20250318000507
01283974,삐아,451250,True,1,,,,,20250320001627
01284751,시지트로닉스,429270,True,2,,,,20240401001983,20250319000290
01284876,인스피언,465480,True,1,,,,,20250321001873
01286476,RF시스템즈,474610,True,1,,,,,20250318001396
01287402,리비콘,,False,1,,,,,20250424000098
01288410,셀바이오휴먼텍,318160,True,2,,,,20240320001022,20250318001333
01288827,HPSP,403870,True,2,,,,20240416000331,20250320001013
01290132,인터로이드,311960,True,3,,,20230323001005,20240327001179,20250325000306
01290248,스코넥,276040,True,3,,,20230331001392,20240401004364,20250320001446
01290275,원시스템,,False,2,20210428000128,20220330001627,,,
01290381,피엔케이피부임상연구센타,347740,True,5,20210319000437,20220318000613,20230320000832,20240320001282,20250321001523
01290804,엔지노믹스,,False,4,,20220330000612,20230515002547,20240401003954,20250331004272
01291317,더블유씨피,393890,True,2,,,,20240319000795,20250319000586
01291432,코스텍,,False,3,,,20230331001373,20240401001515,20250331000493
01292291,파두,440110,True,1,,,,20240320000994,
01292671,예스코,,False,5,20210331000074,20220331000029,20230317000684,20240222001974,20250228004306
01293360,모노리스,,False,1,,,,,20250331004127
01293388,무진메디,322970,True,5,20210322000597,20220322000133,20230322000309,20240320001073,20250319000757
01293485,제닉스로보틱스,381620,True,1,,,,,20250324000089
01293953,싸이버원,356890,True,4,,20220323000667,20230323000751,20240321001797,20250320001072
01294341,에너진,,False,3,,,20230331004450,20240401004294,20250331003867
01294891,파워보이스,,False,5,20210422000048,20220331003731,20230331003070,20240329000791,20250331001662
01297898,마음AI,377480,True,4,,20220330001822,20230321001388,20240320000671,20250319000555
01298806,다원메닥스,,False,1,,,,,20250331003011
01298930,사운드백신,,False,5,20210329000289,20220329000716,20230330001392,20240401001544,20250429000120
01299106,우듬지팜,403490,True,1,,,,,20250321001965
01299203,그리드위즈,453450,True,1,,,,,20250321001848
01301252,티이엠씨,425040,True,3,,,20230320000928,20240320001612,20250318000974
01301623,비씨엔씨,146320,True,4,,20220325001106,20230322001069,20240318000892,20250318000823
01302853,아이씨에이치,368600,True,2,,,,20240320001844,20250321001290
01303029,알비더블유,361570,True,4,,20220324000696,20230323000924,20240321001770,20250321001127
01304648,파로스젠,,False,5,20210325000725,20220324000306,20230330000347,20240322000220,20250326000792
01305249,스톤브릿지벤처스,330730,True,4,,20220323000651,20230322000782,20240321001380,20250320001068
01307335,공구우먼,366030,True,4,,20220324000669,20230323001166,20240320001038,20250319000977
01307441,티엔디,,False,3,,,20230405000018,20240401000075,20250331000325
01309069,타이드,346010,True,3,,,20230321000644,20240319000037,20250318000417
01309209,더블다운인터액티브,,False,4,,20220330000909,20230329000883,20240329002223,20250328002320
01309388,LS티라유텍,322180,True,5,20210319000628,20220321000791,20230322001111,20240321000393,20250312001153
01309421,제이엔비,452160,True,2,,,,20240319000281,20250319000203
01309795,알로이스,297570,True,5,20210322000140,20220322000130,20230322000236,20240320000154,20250321000238
01310241,두나무,,False,4,,20220331002670,20230331003960,20240328001689,20250328000589
01310269,HDC현대산업개발,294870,True,3,20210316000975,20220321001372,,20240401002733,
01310515,민간임대허브제4호위탁관리부동산투자회사,,False,1,,,,,20250328002212
01310773,엔시스,333620,True,5,20210330001049,20220323000235,20230321000024,20240321000028,20250321000654
01311055,쿠콘,294570,True,5,20210309000695,20220318000100,20230317000812,20240315000774,20250314001584
01311286,퀀타매트릭스,317690,True,5,20210323001020,20220323000754,20230323001002,20240321001073,20250320000758
01311310,지아이텍,382480,True,4,,20220310000867,20230309000357,20240307000512,20250328000256
01311408,에코프로머티,450080,True,3,,,20230321001386,20240417000528,20250402002504
01312489,에스제이,,False,2,,,,20240401001692,20250328000894
01315042,시선AI,340810,True,2,,,20230328000161,20240320000828,
01316227,효성티앤씨,298020,True,5,20210310001051,20220308000960,20230308000741,20240306000715,20250312000116
01316236,효성화학,298000,True,5,20210310001197,20220308000678,20230308000769,20240306000534,20250312001129
01316245,효성중공업,298040,True,3,20210310001217,,20230309000420,20240315000877,
01316254,HS효성첨단소재,298050,True,5,20210310001080,20220308000820,20230308000691,20240306000635,20250312001093
01316661,삼도전기에너지,,False,1,,,,,20250416000467
01318261,더블유에스아이,299170,True,4,20210323000007,20220322000567,20230322001114,20240320001463,
01318933,지니틱스,303030,True,5,20210315000647,20220316001263,20230313000727,20240321001059,20250318000359
01319808,한일시멘트,300720,True,5,20210317000869,20220318000879,20230317000994,20240320001711,20250317000951
