CIK,corp_name,stock_code,report_nm,rcept_no,url
00147295,전북은행,006350,[기재정정]사업보고서 (2024.12),20250430000371,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250430000371
00148470,제일일렉트릭,199820,사업보고서 (2024.12),20250319000548,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250319000548
00148610,한화투자증권,003530,사업보고서 (2024.12),20250311001013,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250311001013
00148832,제주은행,006220,사업보고서 (2024.12),20250317000569,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000569
00148920,조광페인트,004910,[기재정정]사업보고서 (2024.12),20250811000086,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250811000086
00148948,조비,001550,사업보고서 (2024.12),20250317000781,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000781
00149026,CS홀딩스,000590,[첨부추가]사업보고서 (2024.12),20250321001425,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001425
00149293,신한은행,000010,사업보고서 (2024.12),20250318001188,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318001188
00149354,종근당홀딩스,001630,사업보고서 (2024.12),20250318001235,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318001235
00149646,기업은행,024110,사업보고서 (2024.12),20250318001325,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318001325
00149770,중앙에너비스,000440,사업보고서 (2024.12),20250314000625,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250314000625
00151298,DSR제강,069730,사업보고서 (2024.12),20250226005968,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250226005968
00152729,광전자,017900,사업보고서 (2024.12),20250320000952,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320000952
00152783,코메론,049430,사업보고서 (2024.12),20250319000535,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250319000535
00152932,하나캐피탈,,사업보고서 (2024.12),20250317000495,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000495
00153621,참엔지니어링,009310,사업보고서 (2024.12),20250318000654,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318000654
00153861,태영건설,009410,[기재정정]사업보고서 (2024.12),20250814003344,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250814003344
00154426,아이에이치큐,003560,사업보고서 (2024.12),20250321000838,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321000838
00154718,비츠로셀,082920,사업보고서 (2024.12),20250318000663,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318000663
00155452,풍국주정,023900,사업보고서 (2024.12),20250318001261,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318001261
00155586,HLB이노베이션,024850,사업보고서 (2024.12),20250312001127,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250312001127
00155638,피에스텍,002230,사업보고서 (2024.12),20250318001390,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318001390
00156859,다올투자증권,030210,[기재정정]사업보고서 (2024.12),20250317000595,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000595
00156895,아주IB투자,027360,사업보고서 (2024.12),20250319000857,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250319000857
00156910,SBI인베스트먼트,019550,사업보고서 (2024.12),20250319000401,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250319000401
00157636,케이피에프,024880,사업보고서 (2024.12),20250319000642,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250319000642
00158909,하나은행,004940,사업보고서 (2024.12),20250317000805,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000805
00159102,DB손해보험,005830,[기재정정]사업보고서 (2024.12),20250814003767,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250814003767
00159254,한국전자홀딩스,006200,[첨부추가]사업보고서 (2024.12),20250319001004,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250319001004
00159342,한국정보통신,025770,사업보고서 (2024.12),20250313000436,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250313000436
00159643,한국증권금융,,사업보고서 (2024.12),20250331003161,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331003161
00160144,한국투자증권,,사업보고서 (2024.12),20250321000977,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321000977
00160205,한국내화,010040,사업보고서 (2024.12),20250318000918,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318000918
00160393,케이비라이프생명보험,,[기재정정]사업보고서 (2024.12),20250428000500,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250428000500
00161356,파르나스호텔,,사업보고서 (2024.12),20250328001027,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250328001027
00161408,케이비캐피탈,021960,사업보고서 (2024.12),20250314001558,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250314001558
00162416,한양증권,001750,사업보고서 (2024.12),20250321001966,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001966
00162586,한올바이오파마,009420,사업보고서 (2024.12),20250318000750,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318000750
00162911,한일사료,005860,사업보고서 (2024.12),20250312000585,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250312000585
00163682,메리츠증권,008560,사업보고서 (2024.12),20250331003245,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331003245
00163761,한창제지,009460,사업보고서 (2024.12),20250318001122,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318001122
00164876,케이비증권,003450,사업보고서 (2024.12),20250321001148,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001148
00164973,현대해상,001450,[기재정정]사업보고서 (2024.12),20250407001731,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250407001731
00165459,GS칼텍스,,사업보고서 (2024.12),20250331002860,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331002860
00165653,호텔롯데,,사업보고서 (2024.12),20250331003708,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331003708
00166500,화천기계,010660,[기재정정]사업보고서 (2024.12),20250814002772,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250814002772
00166519,화천기공,000850,사업보고서 (2024.12),20250312000803,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250312000803
00166546,환영철강공업,,사업보고서 (2024.12),20250331002865,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331002865
00167068,흥국생명보험,,[기재정정]사업보고서 (2024.12),20250410002948,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250410002948
00168331,온타이드,005320,사업보고서 (2024.12),20250320000926,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320000926
00168401,금비,,N/A,,
00169048,HLB글로벌,003580,사업보고서 (2024.12),20250319000687,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250319000687
00170442,하나에프앤아이,,사업보고서 (2024.12),20250314001545,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250314001545
00173449,빌리언스,044480,사업보고서 (2024.12),20250312001143,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250312001143
00173661,에스지신성건설,001970,사업보고서 (2024.12),20250331003654,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331003654
00173999,유성티엔에스,024800,사업보고서 (2024.12),20250328002304,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250328002304
00177320,대성미생물,036480,사업보고서 (2024.12),20250318000467,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318000467
00181299,상아프론테크,089980,사업보고서 (2024.12),20250317000962,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000962
00185222,크린앤사이언스,045520,[첨부추가]사업보고서 (2024.12),20250320000033,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320000033
00185505,제일바이오,052670,[기재정정]사업보고서 (2024.12),20250814004267,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250814004267
00189538,피델릭스,032580,사업보고서 (2024.12),20250311000076,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250311000076
00191588,삼원강재,023000,사업보고서 (2024.12),20250314000520,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250314000520
00199988,동아화성,041930,[첨부추가]사업보고서 (2024.12),20250320000809,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320000809
00201742,유라테크,048430,사업보고서 (2024.12),20250318000569,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318000569
00203582,한솔홈데코,025750,사업보고서 (2024.12),20250311000946,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250311000946
00204642,티비씨,033830,[기재정정]사업보고서 (2024.12),20250513000334,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250513000334
00204688,대림,,사업보고서 (2024.12),20250331003733,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331003733
00205003,좋은사람들,033340,사업보고서 (2024.12),20250320001264,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320001264
00206659,이랜텍,054210,[기재정정]사업보고서 (2024.12),20250327001006,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250327001006
00207676,롯데글로벌로지스,,사업보고서 (2024.12),20250321000949,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321000949
00207737,세메스,,사업보고서 (2024.12),20250331002978,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331002978
00208444,피에스케이홀딩스,031980,사업보고서 (2024.12),20250321001638,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001638
00208514,현대캐피탈,,사업보고서 (2024.12),20250331002733,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331002733
00209443,우리금융캐피탈,033660,사업보고서 (2024.12),20250318000865,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318000865
00216498,성도이엔지,037350,[기재정정]사업보고서 (2024.12),20250814001118,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250814001118
00219051,롯데카드,,사업보고서 (2024.12),20250331002692,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331002692
00219486,신세계I&C,035510,사업보고서 (2024.12),20250317000967,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000967
00220686,에스피지,058610,사업보고서 (2024.12),20250318000311,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318000311
00221728,하츠,066130,사업보고서 (2024.12),20250318000548,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318000548
00222295,롯데캐피탈,,사업보고서 (2024.12),20250331001716,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331001716
00222374,현대카드,,사업보고서 (2024.12),20250321001518,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001518
00222532,LG헬로비전,037560,사업보고서 (2024.12),20250306000713,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250306000713
00225706,JW생명과학,234080,사업보고서 (2024.12),20250318001174,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318001174
00226352,케이엠더블유,032500,사업보고서 (2024.12),20250320000541,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320000541
00230911,HRS,036640,사업보고서 (2024.12),20250318000433,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318000433
00231664,우리기술투자,041190,사업보고서 (2024.12),20250320000645,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320000645
00231707,비트컴퓨터,032850,사업보고서 (2024.12),20250317000141,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000141
00231901,LB인베스트먼트,309960,사업보고서 (2024.12),20250318000691,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318000691
00231929,지에스이피에스,,사업보고서 (2024.12),20250318000364,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318000364
00233653,한국토지신탁,034830,사업보고서 (2024.12),20250318001056,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318001056
00234971,제이비우리캐피탈,,사업보고서 (2024.12),20250319000539,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250319000539
00238001,블루콤,033560,사업보고서 (2024.12),20250313001159,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250313001159
00238199,로지시스,067730,사업보고서 (2024.12),20250318001270,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318001270
00238782,다우데이타,032190,사업보고서 (2024.12),20250320001297,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320001297
00239514,삼진엘앤디,054090,[기재정정]사업보고서 (2024.12),20250327001009,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250327001009
00243979,수성웹툰,084180,사업보고서 (2024.12),20250319000824,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250319000824
00247975,솔브레인홀딩스,036830,사업보고서 (2024.12),20250318001278,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318001278
00248938,엠지캐피탈,,사업보고서 (2024.12),20250331002386,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331002386
00249502,골드앤에스,035290,사업보고서 (2024.12),20250318001388,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318001388
00250614,삼영엠텍,054540,사업보고서 (2024.12),20250321000394,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321000394
00251400,BNK투자증권,,사업보고서 (2024.12),20250318000709,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318000709
00254045,우리은행,000030,사업보고서 (2024.12),20250318001159,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318001159
00255044,현대에이치티,039010,사업보고서 (2024.12),20250321000690,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321000690
00255275,HB테크놀러지,078150,사업보고서 (2024.12),20250317000922,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000922
00259253,피케이밸브앤엔지니어링,,사업보고서 (2024.12),20250331003057,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331003057
00259776,미래에셋자산운용,,사업보고서 (2024.12),20250321001843,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001843
00260356,산은캐피탈,008270,사업보고서 (2024.12),20250331002444,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331002444
00260569,유니셈,036200,사업보고서 (2024.12),20250307001164,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250307001164
00260611,웰킵스하이텍,043590,사업보고서 (2024.12),20250321000966,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321000966
00260657,오상헬스케어,036220,사업보고서 (2024.12),20250319001053,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250319001053
00260958,케이티알파,036030,사업보고서 (2024.12),20250319000169,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250319000169
00261373,마크로젠,038290,사업보고서 (2024.12),20250321001254,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001254
00262266,삼현,437730,사업보고서 (2024.12),20250320000972,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250320000972
00264945,나이스정보통신,036800,사업보고서 (2024.12),20250317000835,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000835
00266952,네오위즈홀딩스,042420,[기재정정]사업보고서 (2024.12),20250813001287,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250813001287
00275251,아이비케이캐피탈,,[기재정정]사업보고서 (2024.12),20250414001893,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250414001893
00276083,피노,033790,[기재정정]사업보고서 (2024.12),20250709000309,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250709000309
00277736,한일네트웍스,046110,사업보고서 (2024.12),20250328000985,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250328000985
00294511,시큐아이,,사업보고서 (2024.12),20250331000491,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250331000491
00296263,YW,051390,[기재정정]사업보고서 (2024.12),20250808000247,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250808000247
00296290,키움증권,039490,사업보고서 (2024.12),20250317000785,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000785
